team,atk_overall,atk_shooting,atk_pace,atk_dribbling,mid_overall,mid_passing,mid_physic,def_overall,def_defending,def_physic,gk_overall,top11_overall,squad_depth,avg_caps,atk_xG_per90,atk_xA_per90
Sweden,80.50877192982456,77.32080200501254,84.60902255639098,77.8671679197995,74.06949806949807,72.21814671814671,70.48069498069498,74.29656862745098,69.93504901960785,75.0625,72.35483870967742,79.0,6.933333333333337,19.96153846153846,0.3922357980919903,0.11087614686875952
Norway,84.28571428571429,84.28571428571429,79.5952380952381,75.57142857142857,76.20718562874252,73.31736526946108,68.79281437125748,72.94503816793893,69.5175572519084,77.54198473282443,71.8,80.0909090909091,8.35757575757576,30.807692307692307,0.7792997640192533,0.12278639467566729
Brazil,80.67842323651452,78.16735822959889,84.13969571230982,80.49792531120332,80.42619542619542,76.5031185031185,75.45738045738045,80.33646322378716,74.95618153364632,79.06103286384976,82.89473684210526,85.9090909090909,9.575757575757578,35.23076923076923,0.47843799350418315,0.20061856441064074
Belgium,80.69772256728778,76.04761904761905,78.45548654244307,80.22981366459628,80.2854914196568,78.54602184087364,71.78783151326053,75.9208211143695,74.59530791788856,75.3108504398827,80.55833333333334,82.9090909090909,7.309090909090912,41.73076923076923,0.28220143051961527,0.2997055453287352
Argentina,81.37522123893805,74.9221238938053,80.7433628318584,82.45486725663717,81.79326186830015,80.76416539050535,72.93415007656968,79.65934065934066,78.9309262166405,78.67817896389325,82.07317073170732,84.63636363636364,6.63636363636364,48.11538461538461,0.297312902934574,0.23411702788714508
Canada,73.73929961089495,70.50389105058366,79.47859922178988,71.69455252918289,70.72874493927125,67.74898785425101,64.88866396761134,73.91515151515152,69.46969696969697,74.71818181818182,71.03755868544602,77.0909090909091,8.224242424242433,36.65384615384615,0.34830798389923107,0.17344171673470324
Bosnia and Herzegovina,71.63983903420524,69.9215291750503,66.19315895372233,71.13480885311871,67.6604823747681,57.2152133580705,59.48051948051948,69.73873873873873,68.56576576576576,74.50990990990991,74.39013452914799,75.18181818181819,9.38181818181819,22.96153846153846,,
Algeria,76.43802816901409,72.84976525821597,78.27511737089202,80.3755868544601,73.99806576402321,71.75048355899419,69.84526112185686,74.6203288490284,65.74887892376681,71.07772795216741,70.82075471698113,78.5909090909091,7.524242424242431,30.384615384615383,,
Croatia,77.28138528138528,77.31818181818181,70.98701298701299,75.56926406926407,78.45815602836879,77.79574468085106,69.42836879432625,76.1842105263158,76.19407894736842,77.23026315789474,76.47598253275109,80.81818181818181,6.484848484848484,44.61538461538461,0.554985726597722,0.11243798932480766
Panama,71.30105633802818,69.97183098591549,74.3169014084507,72.25352112676056,73.2905982905983,69.16239316239316,72.47008547008546,72.51005025125629,70.21105527638191,75.75879396984925,71.68837209302326,75.0,4.666666666666671,59.26923076923077,,
